"date","age_group","age_low","age_up","region","n_positive","total_samples","assay"
"2020-06-26","65_119",65,119,"east_of_england",3,56,"euro_immun"
"2020-06-29","65_119",65,119,"east_of_england",1,63,"euro_immun"
"2020-07-03","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-07-10","65_119",65,119,"east_of_england",0,9,"euro_immun"
"2020-07-17","65_119",65,119,"east_of_england",0,3,"euro_immun"
"2020-07-20","65_119",65,119,"east_of_england",0,3,"euro_immun"
"2020-07-24","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-07-25","65_119",65,119,"east_of_england",0,8,"euro_immun"
"2020-07-26","65_119",65,119,"east_of_england",1,30,"euro_immun"
"2020-07-27","65_119",65,119,"east_of_england",4,70,"euro_immun"
"2020-07-28","65_119",65,119,"east_of_england",2,34,"euro_immun"
"2020-07-30","65_119",65,119,"east_of_england",0,9,"euro_immun"
"2020-07-31","65_119",65,119,"east_of_england",0,8,"euro_immun"
"2020-08-02","65_119",65,119,"east_of_england",0,7,"euro_immun"
"2020-08-06","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-08-13","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-08-14","65_119",65,119,"east_of_england",0,3,"euro_immun"
"2020-08-16","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-08-19","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-08-21","65_119",65,119,"east_of_england",1,69,"euro_immun"
"2020-08-24","65_119",65,119,"east_of_england",1,33,"euro_immun"
"2020-08-28","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-09-03","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-09-11","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-09-16","65_119",65,119,"east_of_england",5,88,"euro_immun"
"2020-09-18","65_119",65,119,"east_of_england",2,25,"euro_immun"
"2020-09-25","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-09-28","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-10-07","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-10-08","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-10-14","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-10-16","65_119",65,119,"east_of_england",0,86,"euro_immun"
"2020-10-17","65_119",65,119,"east_of_england",0,3,"euro_immun"
"2020-10-18","65_119",65,119,"east_of_england",1,32,"euro_immun"
"2020-10-21","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-10-23","65_119",65,119,"east_of_england",0,4,"euro_immun"
"2020-10-31","65_119",65,119,"east_of_england",0,5,"euro_immun"
"2020-11-01","65_119",65,119,"east_of_england",1,12,"euro_immun"
"2020-11-08","65_119",65,119,"east_of_england",0,30,"euro_immun"
"2020-11-15","65_119",65,119,"east_of_england",1,12,"euro_immun"
"2020-11-21","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-11-22","65_119",65,119,"east_of_england",0,10,"euro_immun"
"2020-11-27","65_119",65,119,"east_of_england",0,33,"euro_immun"
"2020-12-04","65_119",65,119,"east_of_england",1,21,"euro_immun"
"2020-12-06","65_119",65,119,"east_of_england",0,8,"euro_immun"
"2020-12-12","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-12-14","65_119",65,119,"east_of_england",1,39,"euro_immun"
"2020-12-19","65_119",65,119,"east_of_england",0,5,"euro_immun"
"2020-12-20","65_119",65,119,"east_of_england",0,18,"euro_immun"
"2021-01-04","65_119",65,119,"east_of_england",4,47,"euro_immun"
"2021-01-11","65_119",65,119,"east_of_england",3,41,"euro_immun"
"2021-01-16","65_119",65,119,"east_of_england",0,6,"euro_immun"
"2021-01-17","65_119",65,119,"east_of_england",1,32,"euro_immun"
"2021-01-25","65_119",65,119,"east_of_england",2,36,"euro_immun"
"2021-01-31","65_119",65,119,"east_of_england",1,25,"euro_immun"
"2021-02-06","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2021-02-07","65_119",65,119,"east_of_england",5,17,"euro_immun"
"2021-02-13","65_119",65,119,"east_of_england",2,6,"euro_immun"
"2021-02-14","65_119",65,119,"east_of_england",3,11,"euro_immun"
"2021-02-15","65_119",65,119,"east_of_england",1,1,"euro_immun"
"2021-02-21","65_119",65,119,"east_of_england",1,1,"euro_immun"
"2021-02-22","65_119",65,119,"east_of_england",20,38,"euro_immun"
"2020-04-02","15_64",15,64,"midlands",18,506,"euro_immun"
"2020-04-03","15_64",15,64,"midlands",4,250,"euro_immun"
"2020-04-15","15_64",15,64,"midlands",0,7,"euro_immun"
"2020-04-16","15_64",15,64,"midlands",4,49,"euro_immun"
"2020-04-23","15_64",15,64,"midlands",42,577,"euro_immun"
"2020-04-24","15_64",15,64,"midlands",17,327,"euro_immun"
"2020-04-25","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-05-06","15_64",15,64,"midlands",2,3,"euro_immun"
"2020-05-07","15_64",15,64,"midlands",9,80,"euro_immun"
"2020-05-08","15_64",15,64,"midlands",0,3,"euro_immun"
"2020-05-13","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-05-14","15_64",15,64,"midlands",14,311,"euro_immun"
"2020-05-15","15_64",15,64,"midlands",30,422,"euro_immun"
"2020-05-22","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-05-28","15_64",15,64,"midlands",0,5,"euro_immun"
"2020-05-29","15_64",15,64,"midlands",0,11,"euro_immun"
"2020-06-04","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-06-05","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-06-10","15_64",15,64,"midlands",0,3,"euro_immun"
"2020-06-11","15_64",15,64,"midlands",31,490,"euro_immun"
"2020-06-14","15_64",15,64,"midlands",5,78,"euro_immun"
"2020-06-15","15_64",15,64,"midlands",24,300,"euro_immun"
"2020-06-16","15_64",15,64,"midlands",10,116,"euro_immun"
"2020-06-19","15_64",15,64,"midlands",0,5,"euro_immun"
"2020-06-22","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-06-26","15_64",15,64,"midlands",2,49,"euro_immun"
"2020-06-29","15_64",15,64,"midlands",0,8,"euro_immun"
"2020-07-02","15_64",15,64,"midlands",0,5,"euro_immun"
"2020-07-03","15_64",15,64,"midlands",0,3,"euro_immun"
"2020-07-08","15_64",15,64,"midlands",2,9,"euro_immun"
"2020-07-10","15_64",15,64,"midlands",41,607,"euro_immun"
"2020-07-13","15_64",15,64,"midlands",8,172,"euro_immun"
"2020-07-17","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-07-24","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-07-25","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-07-26","15_64",15,64,"midlands",3,59,"euro_immun"
"2020-07-27","15_64",15,64,"midlands",0,5,"euro_immun"
"2020-07-28","15_64",15,64,"midlands",0,9,"euro_immun"
"2020-07-29","15_64",15,64,"midlands",0,14,"euro_immun"
"2020-07-31","15_64",15,64,"midlands",0,2,"euro_immun"
"2020-08-05","15_64",15,64,"midlands",1,25,"euro_immun"
"2020-08-06","15_64",15,64,"midlands",34,645,"euro_immun"
"2020-08-07","15_64",15,64,"midlands",7,148,"euro_immun"
"2020-08-13","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-08-14","15_64",15,64,"midlands",0,5,"euro_immun"
"2020-08-19","15_64",15,64,"midlands",0,1,"euro_immun"
"2020-08-21","15_64",15,64,"midlands",2,28,"euro_immun"
"2020-08-24","15_64",15,64,"midlands",4,91,"euro_immun"
"2020-08-26","15_64",15,64,"midlands",0,3,"euro_immun"
"2020-08-28","15_64",15,64,"midlands",4,38,"euro_immun"
"2020-09-02","15_64",15,64,"midlands",0,3,"euro_immun"
"2020-09-03","15_64",15,64,"midlands",34,591,"euro_immun"
"2020-09-05","15_64",15,64,"midlands",13,133,"euro_immun"
"2020-09-06","15_64",15,64,"midlands",12,161,"euro_immun"
"2020-09-09","15_64",15,64,"midlands",0,1,"euro_immun"
